WI    Mark Green         R    Y       Y     N     N
MS    Roger Wicker       R    Y       Y     Y     Y
WA    James McDermott    D    N       N     N     Y
TX    Peter Sessions     R    Y       Y     Y     N
NV    Shelley Berkley    D    Y       N     N     Y
MI    Candice Miller     R    Y       Y     Y     Y
IL    Philip Crane       R    Y       Y     Y     N
TX    John Culberson     R    Y       Y     Y     Y
NY    Sherwood Boehlert  R    Y       Y     N     N
PA    Tim Holden         D    Y       Y     Y     Y
TX    Silvestre Reyes    D    Y       Y     -     Y
NM    Heather Wilson     R    Y       Y     Y     Y
IN    Mike Pence         R    Y       Y     Y     N
OH    Paul Gillmor       R    Y       Y     Y     N
WA    Jay Inslee         D    N       N     N     Y
NY    Maurice Hinchey    D    N       N     N     Y
WY    Barbara Cubin      R    Y       Y     Y     N
MD    Roscoe Bartlett    R    Y       Y     Y     Y
TN    Barton Gordon      D    Y       Y     N     Y
MI    Sander Levin       D    N       N     N     Y
NJ    Frank LoBiondo     R    Y       Y     N     N
AZ    Trent Franks       R    Y       Y     Y     Y
OK    Frank Lucas        R    Y       Y     Y     N
TX    Michael Burgess    R    Y       Y     Y     N
NH    Jeb Bradley        R    Y       Y     N     N
OH    Stephanie Jones    D    N       -     N     Y
NV    Jon Porter         R    Y       Y     Y     N
UT    Jim Matheson       D    N       Y     Y     N
NC    Bradley Miller     D    N       N     N     Y
CA    Doug Ose           R    Y       Y     N     N
IA    James Leach        R    N       Y     N     Y
NY    Steve Israel       D    N       N     N     Y
LA    William Jefferson  D    Y       Y     Y     -
CT    Robert Simmons     R    Y       N     Y     N
TX    Thomas Edwards     D    Y       N     Y     Y
FL    V. Brown-Waite     R    Y       Y     Y     Y
NH    Charles Bass       R    Y       Y     N     Y
WI    Paul Ryan          R    -       -     Y     Y
TN    Zach Wamp          R    Y       Y     Y     Y
MI    David Camp         R    Y       Y     Y     N
MN    Betty McCollum     D    N       N     N     Y
MN    Gilbert Gutknecht  R    Y       Y     Y     Y
TX    Solomon Ortiz      D    Y       Y     Y     Y
MI    Nick Smith         R    Y       Y     Y     Y
MI    Vernon Ehlers      R    N       Y     Y     Y
LA    William Tauzin     R    Y       Y     Y     N
MD    Elijah Cummings    D    N       N     N     Y
TN    Lincoln Davis      D    Y       Y     N     Y
